date,event_type,demand_multiplier,is_holiday
2023-01-01,tet,2.5,True
2023-01-02,tet,2.5,True
2023-01-03,tet,2.5,True
2023-01-04,tet,2.5,True
2023-01-05,tet,2.5,True
2023-01-06,tet,2.5,True
2023-01-07,tet,2.5,True
2023-01-08,tet,2.5,True
2023-01-09,tet,2.5,True
2023-01-10,tet,2.5,True
2023-01-11,tet,2.5,True
2023-01-12,tet,2.5,True
2023-01-13,tet,2.5,True
2023-01-14,tet,2.5,True
2023-01-15,tet,2.5,True
2023-01-16,normal,1.0,False
2023-01-17,normal,1.0,False
2023-01-18,normal,1.0,False
2023-01-19,normal,1.0,False
2023-01-20,normal,1.0,False
2023-01-21,weekend,1.3,False
2023-01-22,weekend,1.3,False
2023-01-23,normal,1.0,False
2023-01-24,normal,1.0,False
2023-01-25,normal,1.0,False
2023-01-26,normal,1.0,False
2023-01-27,normal,1.0,False
2023-01-28,weekend,1.3,False
2023-01-29,weekend,1.3,False
2023-01-30,normal,1.0,False
2023-01-31,normal,1.0,False
2023-02-01,normal,1.0,False
2023-02-02,normal,1.0,False
2023-02-03,normal,1.0,False
2023-02-04,weekend,1.3,False
2023-02-05,weekend,1.3,False
2023-02-06,normal,1.0,False
2023-02-07,normal,1.0,False
2023-02-08,normal,1.0,False
2023-02-09,normal,1.0,False
2023-02-10,normal,1.0,False
2023-02-11,weekend,1.3,False
2023-02-12,weekend,1.3,False
2023-02-13,normal,1.0,False
2023-02-14,valentine,2.0,True
2023-02-15,normal,1.0,False
2023-02-16,normal,1.0,False
2023-02-17,normal,1.0,False
2023-02-18,weekend,1.3,False
2023-02-19,weekend,1.3,False
2023-02-20,normal,1.0,False
2023-02-21,normal,1.0,False
2023-02-22,normal,1.0,False
2023-02-23,normal,1.0,False
2023-02-24,normal,1.0,False
2023-02-25,weekend,1.3,False
2023-02-26,weekend,1.3,False
2023-02-27,normal,1.0,False
2023-02-28,normal,1.0,False
2023-03-01,normal,1.0,False
2023-03-02,normal,1.0,False
2023-03-03,normal,1.0,False
2023-03-04,weekend,1.3,False
2023-03-05,weekend,1.3,False
2023-03-06,normal,1.0,False
2023-03-07,normal,1.0,False
2023-03-08,womens_day,1.5,True
2023-03-09,normal,1.0,False
2023-03-10,normal,1.0,False
2023-03-11,weekend,1.3,False
2023-03-12,weekend,1.3,False
2023-03-13,normal,1.0,False
2023-03-14,normal,1.0,False
2023-03-15,normal,1.0,False
2023-03-16,normal,1.0,False
2023-03-17,normal,1.0,False
2023-03-18,weekend,1.3,False
2023-03-19,weekend,1.3,False
2023-03-20,normal,1.0,False
2023-03-21,normal,1.0,False
2023-03-22,normal,1.0,False
2023-03-23,normal,1.0,False
2023-03-24,normal,1.0,False
2023-03-25,weekend,1.3,False
2023-03-26,weekend,1.3,False
2023-03-27,normal,1.0,False
2023-03-28,normal,1.0,False
2023-03-29,normal,1.0,False
2023-03-30,normal,1.0,False
2023-03-31,normal,1.0,False
2023-04-01,weekend,1.3,False
2023-04-02,weekend,1.3,False
2023-04-03,normal,1.0,False
2023-04-04,normal,1.0,False
2023-04-05,normal,1.0,False
2023-04-06,normal,1.0,False
2023-04-07,normal,1.0,False
2023-04-08,weekend,1.3,False
2023-04-09,weekend,1.3,False
2023-04-10,normal,1.0,False
2023-04-11,normal,1.0,False
2023-04-12,normal,1.0,False
2023-04-13,normal,1.0,False
2023-04-14,normal,1.0,False
2023-04-15,weekend,1.3,False
2023-04-16,weekend,1.3,False
2023-04-17,normal,1.0,False
2023-04-18,normal,1.0,False
2023-04-19,normal,1.0,False
2023-04-20,normal,1.0,False
2023-04-21,normal,1.0,False
2023-04-22,weekend,1.3,False
2023-04-23,weekend,1.3,False
2023-04-24,normal,1.0,False
2023-04-25,normal,1.0,False
2023-04-26,normal,1.0,False
2023-04-27,normal,1.0,False
2023-04-28,normal,1.0,False
2023-04-29,weekend,1.3,False
2023-04-30,weekend,1.3,False
2023-05-01,normal,1.0,False
2023-05-02,normal,1.0,False
2023-05-03,normal,1.0,False
2023-05-04,normal,1.0,False
2023-05-05,normal,1.0,False
2023-05-06,weekend,1.3,False
2023-05-07,weekend,1.3,False
2023-05-08,normal,1.0,False
2023-05-09,normal,1.0,False
2023-05-10,normal,1.0,False
2023-05-11,normal,1.0,False
2023-05-12,normal,1.0,False
2023-05-13,weekend,1.3,False
2023-05-14,weekend,1.3,False
2023-05-15,normal,1.0,False
2023-05-16,normal,1.0,False
2023-05-17,normal,1.0,False
2023-05-18,normal,1.0,False
2023-05-19,normal,1.0,False
2023-05-20,weekend,1.3,False
2023-05-21,weekend,1.3,False
2023-05-22,normal,1.0,False
2023-05-23,normal,1.0,False
2023-05-24,normal,1.0,False
2023-05-25,normal,1.0,False
2023-05-26,normal,1.0,False
2023-05-27,weekend,1.3,False
2023-05-28,weekend,1.3,False
2023-05-29,normal,1.0,False
2023-05-30,normal,1.0,False
2023-05-31,normal,1.0,False
2023-06-01,normal,1.0,False
2023-06-02,normal,1.0,False
2023-06-03,weekend,1.3,False
2023-06-04,weekend,1.3,False
2023-06-05,normal,1.0,False
2023-06-06,normal,1.0,False
2023-06-07,normal,1.0,False
2023-06-08,normal,1.0,False
2023-06-09,normal,1.0,False
2023-06-10,weekend,1.3,False
2023-06-11,weekend,1.3,False
2023-06-12,normal,1.0,False
2023-06-13,normal,1.0,False
2023-06-14,normal,1.0,False
2023-06-15,normal,1.0,False
2023-06-16,normal,1.0,False
2023-06-17,weekend,1.3,False
2023-06-18,weekend,1.3,False
2023-06-19,normal,1.0,False
2023-06-20,normal,1.0,False
2023-06-21,normal,1.0,False
2023-06-22,normal,1.0,False
2023-06-23,normal,1.0,False
2023-06-24,weekend,1.3,False
2023-06-25,weekend,1.3,False
2023-06-26,normal,1.0,False
2023-06-27,normal,1.0,False
2023-06-28,normal,1.0,False
2023-06-29,normal,1.0,False
2023-06-30,normal,1.0,False
2023-07-01,weekend,1.3,False
2023-07-02,weekend,1.3,False
2023-07-03,normal,1.0,False
2023-07-04,normal,1.0,False
2023-07-05,normal,1.0,False
2023-07-06,normal,1.0,False
2023-07-07,normal,1.0,False
2023-07-08,weekend,1.3,False
2023-07-09,weekend,1.3,False
2023-07-10,normal,1.0,False
2023-07-11,normal,1.0,False
2023-07-12,normal,1.0,False
2023-07-13,normal,1.0,False
2023-07-14,normal,1.0,False
2023-07-15,weekend,1.3,False
2023-07-16,weekend,1.3,False
2023-07-17,normal,1.0,False
2023-07-18,normal,1.0,False
2023-07-19,normal,1.0,False
2023-07-20,normal,1.0,False
2023-07-21,normal,1.0,False
2023-07-22,weekend,1.3,False
2023-07-23,weekend,1.3,False
2023-07-24,normal,1.0,False
2023-07-25,normal,1.0,False
2023-07-26,normal,1.0,False
2023-07-27,normal,1.0,False
2023-07-28,normal,1.0,False
2023-07-29,weekend,1.3,False
2023-07-30,weekend,1.3,False
2023-07-31,normal,1.0,False
2023-08-01,normal,1.0,False
2023-08-02,normal,1.0,False
2023-08-03,normal,1.0,False
2023-08-04,normal,1.0,False
2023-08-05,weekend,1.3,False
2023-08-06,weekend,1.3,False
2023-08-07,normal,1.0,False
2023-08-08,normal,1.0,False
2023-08-09,normal,1.0,False
2023-08-10,normal,1.0,False
2023-08-11,normal,1.0,False
2023-08-12,weekend,1.3,False
2023-08-13,weekend,1.3,False
2023-08-14,normal,1.0,False
2023-08-15,normal,1.0,False
2023-08-16,normal,1.0,False
2023-08-17,normal,1.0,False
